Device: cuda
/home/hailong/miniforge3/envs/USEF-TFGridNet/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
Generator params: 7.81M
Discriminator params: 70.72M
Starting training from step 0 (phase 1)
step    9900 | phase 1 | loss_G 9.7034 | sep 4.8826 | stft 1.4464 | l1 0.0599 | amp 0.0459 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.94 | rss 1392MB | 0.51s
step   10000 | phase 1 | loss_G 9.5709 | sep 5.0230 | stft 1.4070 | l1 0.0491 | amp 0.0644 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.89 | rss 1392MB | 0.51s
Removed old checkpoint: ./checkpoints/checkpoint_0010000.pt
Saved checkpoint: ./checkpoints/checkpoint_0010000.pt
Validation loss: 2.9110 | si_sdr: -5.94 dB | rms_ratio: 0.949 | ta_energy: -25.4 dB
step   10100 | phase 1 | loss_G 8.9132 | sep 5.6800 | stft 1.2096 | l1 0.0505 | amp 0.0062 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.96 | rss 1392MB | 0.51s
step   10200 | phase 1 | loss_G 8.7787 | sep 2.9729 | stft 1.4522 | l1 0.0626 | amp 0.0921 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.83 | rss 1392MB | 0.51s
step   10300 | phase 1 | loss_G 9.9426 | sep 7.6696 | stft 1.2166 | l1 0.0495 | amp 0.0182 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.13 | rss 1392MB | 0.51s
step   10400 | phase 1 | loss_G 10.8168 | sep 8.0597 | stft 1.3519 | l1 0.0547 | amp 0.1924 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.04 | rss 1392MB | 0.49s
step   10500 | phase 1 | loss_G 6.8996 | sep 2.8646 | stft 1.0886 | l1 0.0484 | amp 0.1606 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.65 | rss 1392MB | 0.51s
step   10600 | phase 1 | loss_G 5.0650 | sep 0.2727 | stft 0.9810 | l1 0.0476 | amp 0.3179 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.62 | rss 1392MB | 0.51s
step   10700 | phase 1 | loss_G 11.7960 | sep 10.3182 | stft 1.3229 | l1 0.0446 | amp 0.1989 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.18 | rss 1392MB | 0.51s
step   10800 | phase 1 | loss_G 8.4116 | sep 5.5224 | stft 1.1243 | l1 0.0574 | amp 0.1227 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.77 | rss 1392MB | 0.51s
step   10900 | phase 1 | loss_G 13.5354 | sep 10.5119 | stft 1.6509 | l1 0.0500 | amp 0.0783 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.35 | rss 1392MB | 0.51s
step   11000 | phase 1 | loss_G 8.6772 | sep 3.9591 | stft 1.3342 | l1 0.0528 | amp 0.1650 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.69 | rss 1392MB | 0.51s
step   11100 | phase 1 | loss_G 10.7881 | sep 8.9935 | stft 1.2537 | l1 0.0458 | amp 0.0003 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.00 | rss 1392MB | 0.51s
step   11200 | phase 1 | loss_G 15.0858 | sep 14.0196 | stft 1.6107 | l1 0.0448 | amp 0.2992 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.61 | rss 1392MB | 0.49s
step   11300 | phase 1 | loss_G 7.2578 | sep 3.2715 | stft 1.1193 | l1 0.0508 | amp 0.0918 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.72 | rss 1392MB | 0.51s
step   11400 | phase 1 | loss_G 7.2272 | sep 3.6701 | stft 1.0744 | l1 0.0402 | amp 0.1929 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.78 | rss 1392MB | 0.51s
step   11500 | phase 1 | loss_G 6.8786 | sep 3.9807 | stft 0.9743 | l1 0.0334 | amp 0.2250 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.54 | rss 1392MB | 0.51s
step   11600 | phase 1 | loss_G 7.6254 | sep 4.1982 | stft 1.1010 | l1 0.0428 | amp 0.1977 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.59 | rss 1392MB | 0.51s
step   11700 | phase 1 | loss_G 6.9546 | sep -0.7246 | stft 1.4572 | l1 0.0623 | amp 0.5046 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.48 | rss 1392MB | 0.51s
step   11800 | phase 1 | loss_G 5.5319 | sep 0.2237 | stft 1.0791 | l1 0.0496 | amp 0.4361 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.56 | rss 1392MB | 0.51s
